osmid,y,x,street_count,highway,ref,railway,geometry
9760089521,41.0137756,28.9527902,3,,,,POINT (28.9527902 41.0137756)
9760089522,41.0138069,28.9528195,4,crossing,,,POINT (28.9528195 41.0138069)
9760089523,41.0138683,28.9528769,4,crossing,,,POINT (28.9528769 41.0138683)
9760089524,41.0168654,28.9507414,3,,,,POINT (28.9507414 41.0168654)
9760089527,41.0180923,28.9490124,3,crossing,,,POINT (28.9490124 41.0180923)
9760089529,41.0205189,28.9468362,3,,,,POINT (28.9468362 41.0205189)
9760089530,41.0204202,28.9466582,3,crossing,,,POINT (28.9466582 41.0204202)
9760089531,41.0204902,28.9467895,4,crossing,,,POINT (28.9467895 41.0204902)
9760089534,41.0225656,28.9443926,3,crossing,,,POINT (28.9443926 41.0225656)
9760089535,41.0226406,28.9444852,3,crossing,,,POINT (28.9444852 41.0226406)
9760089536,41.0233801,28.9431185,1,,,,POINT (28.9431185 41.0233801)
9760089537,41.0235288,28.9433251,1,,,,POINT (28.9433251 41.0235288)
9760089538,41.0234186,28.9431721,4,crossing,,,POINT (28.9431721 41.0234186)
9760089539,41.0234934,28.9432759,4,crossing,,,POINT (28.9432759 41.0234934)
9763759042,41.0187448,28.9678323,3,,,,POINT (28.9678323 41.0187448)
9763759043,41.0186394,28.9683846,3,,,,POINT (28.9683846 41.0186394)
9763759049,41.0180811,28.9708882,3,,,,POINT (28.9708882 41.0180811)
9774730707,41.0163643,28.9382902,3,,,,POINT (28.9382902 41.0163643)
9793516683,41.0073335,28.9541108,3,,,,POINT (28.9541108 41.0073335)
9793516684,41.0071832,28.9538119,3,,,,POINT (28.9538119 41.0071832)
9793516685,41.0072476,28.9536886,3,crossing,,,POINT (28.9536886 41.0072476)
9793516686,41.0073496,28.953572,3,,,,POINT (28.953572 41.0073496)
9797204119,41.0317902,28.9376341,3,,,,POINT (28.9376341 41.0317902)
9797231521,41.0299544,28.9506979,4,,,,POINT (28.9506979 41.0299544)
9809606562,41.0145193,28.9635797,4,,,,POINT (28.9635797 41.0145193)
9809606571,41.011719,28.9502536,3,,,,POINT (28.9502536 41.011719)
9809606573,41.0114502,28.9498526,3,,,,POINT (28.9498526 41.0114502)
9861029294,41.021122,28.9629982,1,,,,POINT (28.9629982 41.021122)
9861029299,41.0203965,28.9639756,4,,,,POINT (28.9639756 41.0203965)
9861029319,41.0200926,28.9643532,3,,,,POINT (28.9643532 41.0200926)
9950855808,41.0182073,28.9277047,4,crossing,,,POINT (28.9277047 41.0182073)
9950855809,41.0181134,28.9279792,3,crossing,,,POINT (28.9279792 41.0181134)
9950855810,41.0182383,28.9276201,3,,,,POINT (28.9276201 41.0182383)
9950855811,41.016488,28.9310304,3,crossing,,,POINT (28.9310304 41.016488)
9950855814,41.0157225,28.9328597,4,crossing,,,POINT (28.9328597 41.0157225)
9950855815,41.0156349,28.9330294,4,crossing,,,POINT (28.9330294 41.0156349)
9950866019,41.0124885,28.9384333,3,crossing,,,POINT (28.9384333 41.0124885)
9950866022,41.0127766,28.9386858,3,crossing,,,POINT (28.9386858 41.0127766)
9977580277,41.0142864,28.9583061,1,,,,POINT (28.9583061 41.0142864)
9977580280,41.0139542,28.9585688,3,,,,POINT (28.9585688 41.0139542)
9981973444,41.018805,28.9626535,3,,,,POINT (28.9626535 41.018805)
9981973445,41.0190486,28.9630113,3,,,,POINT (28.9630113 41.0190486)
9981973447,41.0185835,28.9629836,3,,,,POINT (28.9629836 41.0185835)
10061793524,41.0351926,28.9483012,1,,,,POINT (28.9483012 41.0351926)
10061793526,41.0349318,28.9485135,3,,,,POINT (28.9485135 41.0349318)
10061793527,41.0353141,28.948253,1,,,,POINT (28.948253 41.0353141)
10061793531,41.034918,28.9482054,3,,,,POINT (28.9482054 41.034918)
10061793532,41.0349401,28.9487437,3,,,,POINT (28.9487437 41.0349401)
10061793536,41.0355131,28.9483756,3,,,,POINT (28.9483756 41.0355131)
10061793538,41.0352122,28.94861,3,,,,POINT (28.94861 41.0352122)
10061793539,41.0354532,28.9490054,3,,,,POINT (28.9490054 41.0354532)
10061793542,41.0361958,28.9477001,3,,,,POINT (28.9477001 41.0361958)
10061793559,41.0382236,28.9462279,1,,,,POINT (28.9462279 41.0382236)
10066765424,41.0049649,28.9782841,3,,,,POINT (28.9782841 41.0049649)
10066765425,41.0050103,28.9782049,3,,,,POINT (28.9782049 41.0050103)
10068617931,41.0092778,28.9516143,6,,,,POINT (28.9516143 41.0092778)
10068617936,41.0082605,28.9492841,3,,,,POINT (28.9492841 41.0082605)
10068617968,41.011949,28.9533846,3,crossing,,,POINT (28.9533846 41.011949)
10068617973,41.0112181,28.9531624,3,,,,POINT (28.9531624 41.0112181)
10069899604,41.0082375,28.9508338,3,,,,POINT (28.9508338 41.0082375)
10069899615,41.0085077,28.9501603,3,,,,POINT (28.9501603 41.0085077)
10069944422,41.0085113,28.9502797,3,,,,POINT (28.9502797 41.0085113)
10069944425,41.0086099,28.9502761,1,,,,POINT (28.9502761 41.0086099)
10069944428,41.0020652,28.9459077,1,,,,POINT (28.9459077 41.0020652)
10069944439,41.0034962,28.9472352,1,,,,POINT (28.9472352 41.0034962)
10069944440,41.0030852,28.9493692,3,,,,POINT (28.9493692 41.0030852)
10069944444,41.0032552,28.9493692,3,,,,POINT (28.9493692 41.0032552)
10069944445,41.003015,28.9503487,4,,,,POINT (28.9503487 41.003015)
10069944452,41.0023555,28.938692,4,,,,POINT (28.938692 41.0023555)
10069944453,41.0023124,28.9386661,4,,,,POINT (28.9386661 41.0023124)
10069944494,41.0035773,28.9502001,3,,,,POINT (28.9502001 41.0035773)
10069944507,41.0031768,28.9495317,1,,,,POINT (28.9495317 41.0031768)
10073446335,41.0151069,28.9634281,3,,,,POINT (28.9634281 41.0151069)
10073446353,41.0157793,28.9655655,5,,,,POINT (28.9655655 41.0157793)
10073446364,41.0130141,28.9665098,3,,,,POINT (28.9665098 41.0130141)
10073446395,41.0159392,28.9669522,3,,,,POINT (28.9669522 41.0159392)
10073446401,41.0159271,28.9671717,3,,,,POINT (28.9671717 41.0159271)
10073446403,41.014778,28.9667217,3,,,,POINT (28.9667217 41.014778)
10073446404,41.014786,28.9673024,1,,,,POINT (28.9673024 41.014786)
10073446405,41.013531,28.9611893,3,,,,POINT (28.9611893 41.013531)
10073446412,41.0122578,28.9606458,1,,,,POINT (28.9606458 41.0122578)
10073446430,41.015738,28.9631299,3,,,,POINT (28.9631299 41.015738)
10073446433,41.0153272,28.9636417,3,,,,POINT (28.9636417 41.0153272)
10073446434,41.0155888,28.9639999,3,,,,POINT (28.9639999 41.0155888)
10073446437,41.0171537,28.9633748,3,,,,POINT (28.9633748 41.0171537)
10073446455,41.012089,28.9594381,3,crossing,,,POINT (28.9594381 41.012089)
10073446456,41.0120904,28.9591028,3,,,,POINT (28.9591028 41.0120904)
10073446479,41.0097922,28.9531771,4,crossing,,,POINT (28.9531771 41.0097922)
10073446480,41.0097707,28.9535258,3,,,,POINT (28.9535258 41.0097707)
10073446488,41.0096545,28.9529013,4,,,,POINT (28.9529013 41.0096545)
10073978940,41.0133566,28.9569521,3,,,,POINT (28.9569521 41.0133566)
10073978947,41.0132507,28.9568824,3,,,,POINT (28.9568824 41.0132507)
10073978948,41.0132818,28.9567585,3,crossing,,,POINT (28.9567585 41.0132818)
10073978949,41.0134209,28.9568136,3,crossing,,,POINT (28.9568136 41.0134209)
10073978955,41.013933,28.9559504,3,,,,POINT (28.9559504 41.013933)
10073978959,41.0115382,28.9554962,3,,,,POINT (28.9554962 41.0115382)
10073978967,41.0104779,28.9570589,3,,,,POINT (28.9570589 41.0104779)
10073978970,41.0096526,28.9573438,4,,,,POINT (28.9573438 41.0096526)
10073978973,41.0095088,28.9573571,4,,,,POINT (28.9573571 41.0095088)
10073978983,41.0116422,28.9544591,3,,,,POINT (28.9544591 41.0116422)
10074005020,41.0131254,28.9555522,3,,,,POINT (28.9555522 41.0131254)
10080670967,41.012128,28.9570958,3,,,,POINT (28.9570958 41.012128)
10080670968,41.0121488,28.9571143,3,,,,POINT (28.9571143 41.0121488)
10080670974,41.011824,28.9583047,3,,,,POINT (28.9583047 41.011824)
10080770619,41.0156038,28.9555858,3,,,,POINT (28.9555858 41.0156038)
10080770652,41.016623,28.956091,3,,,,POINT (28.956091 41.016623)
10080770706,41.0164865,28.954442,3,,,,POINT (28.954442 41.0164865)
10080770707,41.016784,28.9547367,3,,,,POINT (28.9547367 41.016784)
10080770713,41.0167378,28.955205,3,,,,POINT (28.955205 41.0167378)
10080802258,41.0095267,28.9553762,4,,,,POINT (28.9553762 41.0095267)
10080802262,41.0096632,28.9554529,4,,,,POINT (28.9554529 41.0096632)
10080802264,41.0096603,28.9556249,3,crossing,,,POINT (28.9556249 41.0096603)
10080802265,41.0095256,28.9556182,3,crossing,,,POINT (28.9556182 41.0095256)
10080802277,41.0096764,28.9583522,3,,,,POINT (28.9583522 41.0096764)
10080802280,41.0095387,28.9583192,3,,,,POINT (28.9583192 41.0095387)
10080802282,41.0095411,28.9584575,3,crossing,,,POINT (28.9584575 41.0095411)
10080802283,41.0096779,28.958451,3,crossing,,,POINT (28.958451 41.0096779)
10080802288,41.0095315,28.959345,4,,,,POINT (28.959345 41.0095315)
10080802290,41.009695,28.9593634,4,,,,POINT (28.9593634 41.009695)
10080802295,41.0095305,28.9594283,3,crossing,,,POINT (28.9594283 41.0095305)
10080802300,41.0152586,28.9531832,4,crossing,,,POINT (28.9531832 41.0152586)
