poi_id,name,lat,lon,poi_group,poi_category,amenity,tourism,historic,leisure,geometry,nearest_edge_u,nearest_edge_v,nearest_edge_key,distance_to_edge_m
5108836414,Turgut,41.013611,28.975528,food,amenity:restaurant,restaurant,,,,POINT (28.975528 41.013611),11165697753,2379693988,0,4.582421460444946
6510541085,Turgut Kebab Pide,41.004667,28.979142,food,amenity:restaurant,restaurant,,,,POINT (28.979142 41.004667),278004976,13253198691,0,8.059789358062709
5112738819,Turko Baba Turkish Delight,41.014453,28.967346,food,amenity:restaurant,restaurant,,,,POINT (28.967346 41.014453),2379755801,311371100,0,7.2345927906797085
5100823689,Turkuaz Ev Yemekleri,41.019452,28.932201,food,amenity:restaurant,restaurant,,,,POINT (28.932201 41.019452),316961437,11036241529,0,5.431870705704128
5113620643,Turquoıse cafe resturant,41.005588,28.980146,food,amenity:restaurant,restaurant,,,,POINT (28.980146 41.005588),1248902329,278004975,0,8.350562678327455
5112728852,Tuğra turkish coffee turkish delight,41.011787,28.958494,food,amenity:restaurant,restaurant,,,,POINT (28.958494 41.011787),2942771231,2370607058,0,10.086754506272287
5113599729,Tüğba Kafeterya,41.008955,28.9433,food,amenity:restaurant,restaurant,,,,POINT (28.9433 41.008955),1058996198,1058995839,0,4.796865345927614
5115938008,URFA SOFRASI HASAN USTA,41.008512,28.930759,food,amenity:restaurant,restaurant,,,,POINT (28.930759 41.008512),817265347,2380793401,0,3.9027546860422424
7010848886,URFALİMSAVAKUSTA,41.012901,28.94843,food,amenity:restaurant,restaurant,,,,POINT (28.94843 41.012901),1059852319,1059852984,0,7.128601113867886
5113611463,Ulu kardeşler,41.029315,28.938904,food,amenity:restaurant,restaurant,,,,POINT (28.938904 41.029315),1064222001,1064221997,0,6.725759963428636
11980554269,Ulusoy Cafe & Pastane,41.004031,28.964427,food,amenity:restaurant,restaurant,,,,POINT (28.964427 41.004031),3081281686,1016925272,0,3.7362474607713216
5099056202,Umut Börek,41.00684,28.946791,food,amenity:restaurant,restaurant,,,,POINT (28.946791 41.00684),1058892431,1058894152,0,2.039959634095542
5081442510,Umut ev yemekleri,41.024629,28.958526,food,amenity:restaurant,restaurant,,,,POINT (28.958526 41.024629),5119030113,1061753194,0,3.4874654117683033
5111215147,Unkapanı Pilavcı,41.006164,28.939115,food,amenity:restaurant,restaurant,,,,POINT (28.939115 41.006164),1058996044,1058893937,0,2.2543274775201274
5110342190,Unkapanı pilavcısı,41.013438,28.960819,food,amenity:restaurant,restaurant,,,,POINT (28.960819 41.013438),311367423,10617771287,0,5.258458178308986
5244807972,Unsal Kebap,41.00959,28.968324,food,amenity:restaurant,restaurant,,,,POINT (28.968324 41.00959),3082166467,3082166487,0,3.651745208988388
