osmid,y,x,elevation
278366663,41.0095382,28.9610099,45.79980850219727
278366669,41.0082228,28.9546269,23.91915130615234
278366671,41.0071773,28.9535816,8.462562561035156
278366676,41.0082379,28.9535921,10.76233577728271
311367407,41.0163449,28.9724442,3.243593692779541
311367408,41.0156177,28.9717812,11.2068567276001
311367410,41.0150579,28.9714275,17.21336364746094
311367419,41.0153505,28.9724506,20.19709396362305
311367420,41.0152839,28.9636967,54.32694625854492
311367421,41.014509,28.9625864,59.49863815307617
311367423,41.0133042,28.9611774,53.33879852294922
311367424,41.012683,28.960357,46.00615310668945
311367425,41.0124841,28.9599786,42.8632698059082
311367428,41.0125645,28.9611585,53.07036972045898
311367448,41.0128774,28.9675488,43.27216720581055
311367450,41.0130417,28.968443,37.6293830871582
311367453,41.0133918,28.96903,31.80990219116211
311367456,41.0138037,28.9697287,21.13448333740234
311367458,41.0139152,28.9701293,19.64533424377441
311367463,41.0146437,28.9709876,14.39451885223389
311367464,41.0149629,28.9711039,13.15239143371582
311367465,41.0153343,28.9712061,14.46134757995605
311367467,41.0157824,28.9714428,7.463991165161133
311367472,41.0137213,28.9722195,38.13634490966797
311367476,41.0122725,28.9730368,41.84403991699219
311367479,41.0122762,28.9718297,41.55952835083008
311367480,41.0121586,28.9712455,36.54777908325195
311367483,41.012015,28.9706103,32.2098388671875
311367504,41.0111039,28.9693712,43.09583282470703
311371017,41.0116704,28.970418,36.37681198120117
311371021,41.0105104,28.9717208,53.21500015258789
311371022,41.0105194,28.9725156,54.00489807128906
311371023,41.0106184,28.974385,46.74503707885742
311371032,41.0145423,28.9729072,19.48197364807129
311371035,41.014097,28.974006,17.29580116271973
311371040,41.0105531,28.9732468,54.28140258789062
311371041,41.0109988,28.9731928,54.61489486694336
311371042,41.0116126,28.9731314,47.88169860839844
311371043,41.0105668,28.9736128,53.05482864379883
311371045,41.0112281,28.9742344,43.41245269775391
311371047,41.0108821,28.9725056,55.08869552612305
311371049,41.0109939,28.9740046,47.25468063354492
311371050,41.010192,28.971679,52.22844314575195
311371051,41.0093238,28.9711823,48.94440078735352
311371057,41.0102532,28.9735118,54.13336563110352
311371064,41.014668,28.9702571,17.7205867767334
311371066,41.015459,28.970567,13.0618724822998
311371080,41.0149519,28.9694911,18.54750442504883
311371082,41.0156213,28.96988,15.01596069335938
311371084,41.0162984,28.9704133,5.382455348968506
311371092,41.0123464,28.9692785,36.13792419433594
311371096,41.0116157,28.9697297,38.45680999755859
311371100,41.0145321,28.9674333,37.4636116027832
311371102,41.013225,28.9675013,42.11094284057617
311371103,41.0111625,28.9609391,49.41068267822266
311371106,41.0156388,28.9612433,48.9638786315918
311371107,41.0171386,28.9612452,31.99896812438965
311371872,41.0145369,28.9598862,44.66434097290039
311371885,41.0145638,28.9612357,51.53264617919922
311371929,41.0151217,28.9583638,34.9559211730957
311371933,41.0154507,28.9576971,34.56403350830078
311371936,41.0165078,28.9594815,34.37633895874023
311371943,41.0169911,28.9603128,32.65800857543945
311371949,41.0172877,28.9625409,37.10513687133789
311372816,41.0162893,28.9689645,11.16547870635986
311372818,41.0168378,28.9683473,9.80016040802002
311372820,41.017072,28.9679513,10.99126815795898
